symbol	usa	candidate	score	best_score	best	classification	pass3_classification	structural_score	rom_score	total_score	reasons
_Route24Youngster1AfterBattleText	25:4110	25:40E1	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24Youngster1AfterBattleText	25:4110	25:41A0	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24Youngster2AfterBattleText	25:41FB	25:4141	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24Youngster2AfterBattleText	25:41FB	25:41A0	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24Youngster2AfterBattleText	25:41FB	25:424F	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route2DiglettsCaveSignText	23:576A	23:5787	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route5UndergroundPathSignText	23:5C07	23:5C67	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_Route6UndergroundPathSignText	23:5E49	23:5EBB	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_Route7UndergroundPathSignText	23:5E7A	23:5EE6	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_Route8UndergroundSignText	23:6262	23:62E8	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_SSAnneB1FRoomsSailor4EndBattleText	20:5C12	20:5E05	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_SSAnneBowSailor3EndBattleText	20:508E	20:51DC	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_SSAnneCaptainsRoomCaptainHM01NoRoomText	20:545D	20:5606	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_SafariZoneCenterRestHouseSignText	21:5807	21:5934	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_SafariZoneCenterRestHouseSignText	21:5807	21:5845	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneEastRestHouseSignText	21:55E0	21:5704	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneEastRestHouseSignText	21:55E0	21:5769	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneNorthRestHouseSignText	21:5646	21:5704	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_SafariZoneNorthRestHouseSignText	21:5646	21:5769	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneWestRestHouseSignText	21:5719	21:5769	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneWestRestHouseSignText	21:5719	21:5845	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneWestRestHouseSignText	21:5719	21:5934	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_SafariZoneWestRestHouseSignText	21:5719	21:5704	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	140	80	220	after-prev;reasonable-prev-ratio
_SaffronCityFightingDojoSignText	29:65A6	29:678F	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_SaffronGymChanneler2EndBattleText	28:6091	28:613E	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_SaffronGymYoungster3EndBattleText	28:61E4	28:6293	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_SaffronGymYoungster4EndBattleText	28:62CA	28:6385	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_SilphCo11FSilphPresidentNoRoomText	21:5013	21:50F1	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_SilphCo3FRocketEndBattleText	20:671A	20:6A4B	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_SilphCo3FScientistEndBattleText	20:6785	20:6AD4	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_SilphCo4FRocket1EndBattleText	20:684B	20:6BBC	120	120	YES	CONFIRMED	HIGH_CONFIDENCE	160	80	240	after-prev;before-next;same-neighbour-bank;reasonable-prev-ratio;reasonable-next-ratio;inside-resolved-interval
_SilphCo6FRocket1BattleText	21:4306	21:436D	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_SilphCo7FRocket2BattleText	21:47BE	21:4876	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_SilphCo8FRocket2BattleText	21:4BB1	21:4C74	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
